"","年","安徽","北京","福建","甘肃","广东","广西","贵州","海南","河北","河南","黑龙江","湖北","湖南","吉林","江苏","江西","辽宁","内蒙古","宁夏","青海","山东","山西","陕西","上海","四川","天津","西藏","新疆","云南","浙江","重庆"
"11",1988,403.545583691178,702.277428980584,231.867888875005,268.065433980529,799.123415822369,233.976119298065,217.820787134496,63.1577699278538,618.845623407105,739.205068768636,513.912094986618,467.922940482255,399.408301674846,291.313189750649,1263.58982317704,378.812501185797,675.573793563077,293.765451254087,89.8856372050927,94.334127779761,959.610540805209,399.916698281281,412.125234168746,668.912557445074,933.936778642738,317.401005741218,26.0372601605187,213.999539698502,214.775694746758,523.07252893872,182.534220790144
"12",1989,442.859660220599,825.955808963711,247.159585184295,287.793832515908,912.067342049757,244.025658904387,226.528499137304,68.3148601747851,671.693239782058,820.930985181804,539.534097704498,501.025119395842,414.232293551122,306.944938917379,1424.38001081686,416.072459757783,748.412210890712,314.731773938879,92.7102634483899,97.7707237482023,1035.8212583614,416.869521739598,448.33247692814,731.736801470764,961.170101402912,336.008437307705,27.687429673364,233.495577877744,225.489113847165,573.450267518738,188.677196296057
"13",1990,486.45815320097,966.213139236927,259.87733970699,306.541699434728,1046.22536454638,249.676658678985,238.30600768551,80.9863063567502,725.499431140202,897.065712844404,563.959055458904,537.86536607408,424.641845234679,328.570183774316,1600.69751092565,453.310360225118,819.498560410655,335.420145293996,96.1403366803547,104.384910948382,1112.23760464313,434.717825766662,479.580598093273,791.86053949809,999.12156434274,352.346609209672,30.5613885480836,264.186322053074,241.337079266713,622.312509753944,201.388290139103
"14",1991,495.482335813455,1048.66498396306,280.025330382643,327.157952518488,1198.66985533669,255.436566555122,251.377778130162,92.9148857658084,799.633184757693,987.791153846561,589.136777725245,583.192531725935,444.467976859386,359.122828957225,1829.44359006911,488.721152499075,894.510633100913,377.456266108467,101.474701477782,109.826370097741,1213.02451337135,459.206419385837,509.429294982955,848.974357110695,1054.14944398335,407.268028931835,33.7880167640395,300.667016311594,277.137587664281,691.542661174919,217.080354474709
"15",1992,509.639339497903,1135.99657102545,304.817616149929,351.316788294514,1449.3265318551,272.093085753756,266.095869141711,111.128642309237,932.665914506867,1094.99346062194,619.350559097085,643.845920135003,474.094636208669,396.712031583308,2224.76288428125,559.951806099591,979.15567283237,436.218317909001,108.263675982166,115.88482267765,1377.39642357187,483.829357898836,542.596805706991,931.122828256331,1135.95474212859,445.87187136343,38.0529046198648,350.871589409444,329.273895862854,812.180629709185,235.66317787982
"16",1993,564.506706805462,1215.95774410367,350.459716146749,380.026168532514,1871.60513028641,326.737624734223,280.84652562402,135.629825310117,1097.58806367866,1215.48850453258,656.266211901517,733.217305033059,513.89834750575,462.603610898383,2715.88162340713,676.229544192507,1089.4698227657,510.735011181179,118.089043050891,122.837610084836,1657.01844007079,508.778331809966,585.769393145622,1049.46238378712,1422.62822320907,482.919189453754,44.8722053154137,407.673160184098,388.89993323862,998.384271855379,262.91592069458
"17",1994,654.727750299951,1349.50892617424,425.815701781782,417.589739789007,2305.26176641366,395.805773272082,305.903552481726,164.822904605659,1302.56322407752,1374.22295522144,702.921631210417,882.543821549711,560.183002744471,533.386969180884,3286.3840324018,802.363888807516,1240.92042912888,585.060502139673,128.032502329462,130.428179653461,1939.97478255186,538.913942828309,635.234616972594,1219.62684905182,1739.91277145225,532.676494529208,52.9141186136714,476.798433965702,453.555486305517,1247.59106371738,291.545765954064
"18",1995,752.292293343945,1533.62752794881,508.046639895252,457.705097100698,2769.11455573902,465.032539060875,328.1804356883,190.745881017845,1555.61567915285,1570.36526180625,754.749984862736,1065.69872730043,614.137930186508,603.39976052755,3906.47692166024,927.126740472048,1370.0408142854,664.232937053795,137.62211869484,141.513128558806,2269.32733125614,568.390270677146,690.904021351422,1458.04206726594,2049.00861892785,599.201167119062,68.8923106142534,561.011482479178,522.696331406914,1701.28711684935,325.865352570111
"19",1996,850.822621152453,1693.38912314079,604.519452576324,509.301730150849,3231.3686772035,533.348361039267,361.495837216771,207.053637117753,1873.46994457106,1809.06436170327,819.353022831932,1289.33032257478,695.219883757852,678.678326851217,4601.28973997206,1040.97725169967,1491.06811465419,718.421742556841,147.044379043044,160.072635524368,2628.52023565166,600.171692123661,749.943676335669,1756.99595254181,2222.51814859443,673.485888987544,79.564737572032,632.100242602368,602.457878891189,2177.46558342891,364.533279325847
"20",1997,954.841659743172,1862.89748882872,711.223825491354,573.150363390887,3583.93751594306,589.224827250709,403.487376124116,220.44058271274,2244.80223438723,2076.18824398141,897.98098164531,1525.56773010617,774.290636908729,734.985293193816,5350.63521203992,1179.83028815334,1606.41760930266,839.191336551263,158.193699472153,184.72491023738,3027.17030539661,647.942677370655,815.821404907463,2008.75756536608,2262.42763796347,757.314058948291,91.8039469616224,696.932378021178,703.77128150606,2686.9057902133,415.163864398281
"21",1998,1045.8916786444,2051.76967612588,841.026250754842,640.274706738863,3984.4071582556,655.087822100661,450.109814710208,234.631981017465,2660.1771238959,2366.64124050934,995.997637156838,1781.68776671101,856.785986878801,802.120993078811,6209.78698092226,1309.97477279396,1729.24456490587,956.325244746581,172.560839968735,198.974350644959,3474.87582752671,721.378186687211,932.609301992994,2230.99356481435,2363.71995567001,854.167648976015,103.571112982846,771.869641622067,832.549034410493,3229.07872123714,487.197098912003
"22",1999,1140.2272947599,2243.99973459996,967.176324156756,721.319141930384,4443.79944226571,730.35551967767,505.334552327111,250.786425095825,3105.04344025277,2648.45080974313,1080.54507919147,2025.17957336774,945.963901002099,881.055538373871,7112.09847752873,1450.21004029124,1847.58402149347,1070.44090667467,192.381792413946,230.343474752411,3947.11191008145,804.302070893481,1051.15149727663,2423.91555104836,2480.761229768,940.274979557996,113.991731360885,849.664513174407,947.339049926004,3699.45040122348,557.732586666433
"23",2000,1252.42183020475,2442.86970097878,1092.35590422088,816.925563244515,4878.81241852886,810.982262033644,568.213160334233,266.139670526225,3535.84210438657,2953.68300272816,1170.94279843509,2283.78866781874,1039.58174961807,975.49017352197,8056.0127227801,1601.05063250097,1988.2343083979,1200.53000723084,216.653787588732,263.153571720524,4509.09714527097,889.11940830122,1187.43374898149,2649.86595688424,2631.65190668784,1031.01897593632,119.873940657982,941.167173526092,1041.06798425224,4151.59947469336,634.005647206961
"24",2001,1349.99853995738,2636.53378012859,1214.9358830764,939.72388832798,5366.16621507878,887.841165994172,653.395953055907,283.073992761406,3959.68247209957,3268.91280245049,1276.49637614832,2561.01963778627,1153.17983418298,1071.35020920757,8984.49483349146,1794.93080627649,2151.72890919135,1351.49692528564,246.935631872168,311.168844482844,5107.8478978798,975.92958286027,1326.95919904572,2900.96697228302,2808.5212738033,1136.30556968667,117.906394161807,1037.45538079937,1137.25860475042,4499.26439362512,726.824598012029
"25",2002,1474.92490996265,2850.39385732612,1336.54544309806,1075.68882147619,5973.79576662472,988.546998021651,750.355666822692,302.000118332089,4376.92310752928,3618.45656555202,1391.68024886059,2851.56389033238,1287.51764784731,1195.62097333569,10237.165803907,2074.69830675716,2344.60696181973,1594.57366590839,282.305443730296,366.482509455206,5831.97600101812,1088.77030888967,1484.84964454092,3197.37049591722,3036.3104481331,1256.5237898965,125.296452610898,1165.63990455093,1246.80524106242,4956.13174055931,846.935527164044
"26",2003,1653.77328711057,3101.72277396925,1479.55994013402,1264.84512907187,6818.9085080866,1102.5810326658,855.887508818759,331.270864501419,4821.59368198124,4011.87893480448,1488.41765776426,3151.22821860388,1450.94198758446,1341.96696118179,11813.8778005904,2496.32466439075,2606.9096538743,2062.40594537506,337.625178692882,419.897800408491,6794.74358774236,1243.78584334442,1671.51076705795,3500.02940725186,3371.94460280373,1386.58893726916,155.399335188531,1305.14477942686,1386.46909051008,5686.02999196395,991.511512498526
"27",2004,1930.58378344615,3403.09124663266,1684.12129694263,1477.71382114192,7843.47472566144,1270.54230913837,971.784348897538,363.244490648342,5384.29905813286,4596.26134889412,1618.42384205191,3534.46090608026,1682.98378205152,1522.22080778687,13604.9113813767,3041.15453911104,3055.44238176349,2741.41061702327,398.422900622125,481.678086687552,7961.5312017214,1457.86606285,1897.81709282327,3839.85968596773,3800.32952407343,1518.72198907959,190.108720200695,1463.65965363108,1568.44273859398,6552.22286888978,1187.57156039964
"28",2005,2306.82367657633,3752.82958815745,1953.38279049912,1724.94005449429,9185.19637369683,1524.38045934911,1104.44134241176,402.877089623771,6184.79502770778,5513.06594815522,1795.44155055738,3993.08276954853,1978.75899802439,1836.97953711072,15957.8522789526,3755.69682329264,3744.0254120951,3724.46332669074,470.504295523139,549.096010610529,9658.24708096259,1727.46003284144,2187.27875656011,4217.03797355043,4360.71477915326,1691.03658912903,225.061980569865,1650.73043590736,1837.10466567785,7541.35746050889,1441.84148383013
"29",2006,2869.84600420462,4137.05313131094,2292.83726087182,1993.62542566428,10607.5817328178,1901.98433214361,1268.71375334216,446.032389367873,7313.59003100162,6471.52530143132,2044.39732411074,4559.4019203101,2326.09032985646,2341.07751469701,18917.8749726566,4615.47952293619,4689.33089531679,4902.04785258189,546.740395111371,632.68058759534,11633.7864521444,2055.26858370457,2596.26605385867,4652.18849018494,5045.36626296239,1919.27854944943,270.372216821652,1866.98153345221,2175.44236744512,8709.82202103874,1752.84681758534
"30",2007,3703.82076918653,4620.16122772134,2796.8527178246,2349.08477660639,12125.2652563906,2409.49659864912,1477.67227811594,491.503323962072,8745.41483670964,8260.90496098982,2364.237225701,5326.81140072168,2789.05689871525,3053.5720164203,22381.1084400754,5649.92909683786,5899.51004943387,6393.35576854717,638.587723776618,727.365732126932,13647.3701513556,2456.67679660269,3178.82659044493,5132.78146076014,5957.30770754067,2233.30689111171,319.72665449461,2103.75131801839,2580.67360980693,9898.76827434144,2156.83035287447
"31",2008,4672.23034218007,4941.72246674847,3385.1044429929,2801.42999379333,13647.0135565382,3001.66919789204,1714.56653126917,557.162911166908,10408.7061867671,10371.2274542743,2752.63783816997,6299.97096214895,3371.33466127229,3978.05400492904,26233.9904955953,7128.36764713188,7378.85942905819,8054.29415214124,762.399538448046,828.761815344148,15714.9076414833,2884.51360930575,3914.50653616888,5554.18170805666,6964.46037321493,2678.46927722815,366.797576454998,2363.59579346743,3049.87181935638,10957.9969571273,2619.10276672452
"32",2009,6086.79244596731,5403.69366313304,4097.90732160947,3454.05850733366,15620.3600350367,3850.76175684795,2029.30235396063,657.374557207504,13019.326689773,13313.9854657616,3353.55170627016,7739.2376497722,4220.30129734008,5171.08880911242,31329.0473651653,9413.69268123192,9281.38251380652,10287.7528191353,932.489141698878,976.884810924826,18502.3010017139,3520.62196513571,4907.27253875125,5996.48468488957,8778.7592701833,3394.83859985619,425.698018005301,2708.51107015403,3708.28082747047,12256.761201295,3263.0986815582
"33",2010,7814.59792239711,5968.33154025904,4999.54506301338,4339.45082036087,17938.2729395618,4945.08043968848,2430.38208139072,790.885188455443,16035.4944775184,16662.5507550577,4158.05896815439,9580.05017433928,5255.97688869456,6561.35736368076,37281.8294113323,12268.9233630094,11674.8226647854,12805.9171364934,1154.51066733567,1161.74238607613,21771.9864820793,4261.35803712292,6129.95819749326,6367.05286136899,10730.0690005749,4336.11448521859,495.416111083548,3170.36490324383,4480.52416429372,13599.1165229225,4077.54938994111
"34",2011,9384.42247054657,6541.01167351216,6034.26958909348,5379.11257697219,20112.37435376,6054.79321656323,2981.26433869663,956.3560605586,18874.3448006732,19688.6694481042,4913.04290245607,11685.2504216145,6397.47432825657,7588.37720564855,43338.3364405632,14667.4346327685,13840.0303982153,15431.5170991408,1372.39054513429,1424.43783324274,25119.7738883134,5059.98504746021,7457.62883213161,6588.2738462675,12612.3098145653,5247.44787080438,564.505641960757,3755.45840176802,5266.04993022476,14853.0011351059,4883.04145596441
"35",2012,11295.2705570909,7084.18377123341,7347.75795938318,6722.13854122225,22398.5510852326,7499.0628494144,3656.73989015007,1167.91793128829,22338.4672378469,23343.3059634471,5998.70869303425,14297.6282837266,7779.91579467978,8993.93594549905,50539.7703448956,17476.7935117027,16572.6780667786,18259.7532486257,1656.61036158739,1774.13656066349,29095.3564686855,6059.17339305674,9128.42507107329,6806.39197161541,14810.8893621975,6129.383813408,657.786526400704,4577.24482169249,6279.25592990442,16598.9928009805,5733.04273456458
"36",2013,13593.4671415227,7724.10705216561,8992.49023920491,8438.76695601363,25140.9612841674,9231.83431404521,4491.68348842093,1433.91073401818,26478.7366137411,27849.2547020285,7301.17588258305,17621.4412588485,9469.28215854347,10355.9450657026,59100.6495141756,20848.6452233998,19597.5305357875,21661.7744672385,2020.04845260488,2212.26701125451,34024.8465184677,7271.15363793637,11101.6628637328,7064.48248754404,17366.2155524476,7163.05420073806,783.322366383345,5622.00999797643,7563.81396757334,18744.0869982677,6736.3704063248
"37",2014,16181.4788696923,8293.23558343541,10846.4575104593,10211.5298244083,28538.9943921774,11177.9588716097,5484.26220452111,1714.83169588317,31121.8484588432,33176.8657746996,8170.06260758617,21390.0496054288,11381.0601776563,11884.8617029133,68597.0101097679,24676.0661914521,22276.4471113568,25926.6479737302,2398.47347965459,2653.68220139375,40230.4329750893,8573.33294848522,12911.8891364484,7315.54256268338,20052.7128009501,8295.84597062639,909.856142894991,6712.87438530058,8750.30705981278,21241.5437650705,7933.74631185625
"38",2015,19141.7749107362,8929.96886990552,13048.4101420004,12439.3423433483,32780.0296801607,13478.7183164782,6683.95474868937,1994.79775219589,36253.5902315311,39457.7272041032,9078.15884642895,25659.0626443335,13641.1976424582,13682.9529245137,79871.7803571262,29333.5030324632,23497.6028097775,28396.6124321139,2839.97026712957,3181.96441136714,47562.1547034387,10095.1106376642,14981.2260783544,7554.76360728996,22902.9922005237,9601.50401809503,1075.95719879523,8163.88218164971,10168.2329646241,24161.8843227046,9405.14441920245
"39",2016,22349.9640122002,9606.91063919978,15278.3467959106,14705.7129679282,37288.0384930076,15821.2165678828,8233.61121949881,2297.7997497208,41500.9871222711,46308.5930865648,10028.6833815108,30229.4424779677,15998.4432122788,15587.5811825697,91650.357529937,34682.9578725767,22281.245943376,31102.5735537795,3316.74947837517,3728.45252471374,55726.4402818892,11418.4148638667,17208.9100150249,7826.49539457656,26096.9169753404,10845.9435846043,1325.47435774129,9359.79412393672,11947.4353209153,27196.0166011839,11071.9962376181
"40",2017,25316.5639618985,10279.7368077236,17518.9934137646,15056.1498504476,41817.8619343494,18281.1620629497,9728.954407534,2585.21202634383,45878.7144559587,52437.8244483397,10993.055865201,34468.8237765492,18258.1584431303,16894.3700942223,101888.311270352,39947.352554827,21131.538000899,32985.5173244185,3653.95960117402,4245.56868413792,62291.2291466915,11136.6388352903,19416.2972446022,8065.33674730691,29195.3124210478,11678.094626704,1617.71301104039,10655.0462367106,13800.0220891519,29833.3370966816,12668.7147236893
